--- SUMMARY ---
Metric,Value
Risk Score,81
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,7 days
Affected Zones,San Javier

--- ZONE RISKS ---
Zone,Risk Score

--- EVIDENCE LOG ---
Date,Headline,Source,Relevance
2024-12-02,Medellín registra 1.200 homicidios en 2024, con aumento en extorsiones y secuestros,telemedellin.tv,0.9
2024-12-02,Rescataron a joven secuestrado en Antioquia por el grupo criminal La Terraza: querían forzarlo a transportar cocaína en su cuerpo,www.infobae.com,0.9
2024-12-02,Medellín: Capturan a presunto cabecilla de 'La Oficina' en la comuna 13,caracol.com.co,0.9
2024-12-02,Medellín: Capturan a alias 'El Mocho', cabecilla de la banda 'Los Pachelly',www.wradio.com.co,0.9
2024-10-01,Capturado el coordinador logístico de la estructura "Los Chatas" en Bello,www.alertapaisa.com,0.9
2024-02-21,Golpe a finanzas criminales de “Los Chatas”, “El Mesa”, “Los Triana” y “Pachelly”, 19 capturados,noticiasyrespuestas.com,0.9
2023-09-12,Capturan a señalado cabecilla del Clan del Golfo en el Bajo Cauca,admin.qhubomedellin.com,0.9
2024-12-02,A alias Abelito, presunto cabecilla de la banda Pachelly, la Policía lo capturó como regalo de cumpleaños,www.elcolombiano.com,0.85
2024-12-02,Capturaron a los dos hombres que mandaban en 'Los Triana',coosmovision.com,0.85
2024-12-02,Paz urbana anticipa recambio de cabecillas de las bandas del Valle de Aburrá,www.elcolombiano.com,0.85
2024-11-10,Banda 'La Terraza' secuestró a un joven en Itagüí para usarlo como mula hacia España,www.noticiasrcn.com,0.85
2025-06-01,Siete capturados por extorsión y desplazamiento en comunas del centro occidente de Medellín,analisisurbano.org,0.7
2024-12-02,Pachelly | Revelaciones del bajo mundo,www.elcolombiano.com,0.7
2024-12-02,Presunto jefe de "Pachelly" se declara inocente ante el juez,www.elcolombiano.com,0.7
2024-12-02,Operativo contra la banda Pachelly de Bello dejó once capturados,www.elcolombiano.com,0.7
2024-12-02,Con capturas en Medellín, Policía frustra expansión de banda Robledo hacia el Caribe,www.elcolombiano.com,0.7
2024-12-02,Desarticulada estructura criminal en Robledo: 25 capturados, algunos investigados por desaparición forzada,www.medellin.gov.co,0.7
2024-12-02,Golpes a los delitos de extorsión, hurto y crimen organizado,www.medellin.gov.co,0.7
2024-10-03,Capturado presunto integrante de Los Chatas en Bello, Antioquia,analisisurbano.org,0.7
2023-11-13,Cayeron siete extorsionistas que tenían azotada la comuna Nororiental de Medellín,www.elcolombiano.com,0.7
2024-12-02,Medellín registra 1.200 homicidios en 2024, con aumento en extorsiones y secuestros,telemedellin.tv,0.6
2024-12-02,Con la operación “Júpiter”, personal adscrito al Grupo Investigativo contra Estructuras de Delincuencia Organizada de la Dirección de Investigación Criminal e INTERPOL y personal de Inteligencia policial en coordinación con la Fiscalía General de la Nación, se lograron importantes resultados contra el multicrimen en Medellín,www.policia.gov.co,0.6
2024-12-02,En Bello, Interpol capturó a alias ‘Gordo Sierra’, un presunto jefe de sicarios de una estructura criminal,h13n.com,0.6
2024-12-02,Cae ‘call center criminal’,www.medellin.gov.co,0.6
2024-12-02,Ojo con el 'falso secuestro', la extorsión en la que cayeron 150 personas en el Valle de Aburrá en 2024,www.elcolombiano.com,0.6
2024-12-02,Caen ocho señalados delincuentes dedicados a la extorsión en Medellín: cobraban hasta por servicios públicos,www.infobae.com,0.6
2024-11-01,Ejército y Fiscalía capturan integrante de Los Chatas en el Valle de Aburrá,www.cgfm.mil.co,0.6
2024-06-18,53 personas han sido capturadas por extorsión y secuestro en 2024,www.elcolombiano.com,0.6
2023-12-31,Medellín lleva 132 capturas por extorsión en 2023,analisisurbano.org,0.6
2025-12-02,Medellín pierde el año por aumento de homicidios: van 315 y todavía falta un mes para cerrar 2025,ciudadsur.co,0.4
2024-12-02,Incautaron 1.200 joyas que pertenecerían a Jorge Luis Alfonso López, hijo de alias La Gata: así fue el operativo,www.infobae.com,0.4
2024-12-02,Judicializan a integrantes de banda que secuestraba y hurtaba a familias en fincas del Valle de Aburrá,www.infobae.com,0.4
2024-12-02,En 2024 caen los homicidios y secuestros, pero la extorsión sigue en aumento, admitió Petro,www.elcolombiano.com,0.4
2024-06-30,Hallan cuerpo con múltiples disparos en el barrio Alfonso López de Castilla, comuna 5 de Medellín,analisisurbano.org,0.4
2024-12-02,Revelaciones del bajo mundo,www.elcolombiano.com,0.3
2024-12-02,Este es el narco más buscado en Colombia: será el jefe de Los Pachenca tras el arresto de sus hermanos,www.infobae.com,0.3
2024-12-02,Capturaron a seis miembros de un clan familiar de narcos de La Guajira: tendrían nexos con carteles mexicanos,www.infobae.com,0.3
2024-12-02,Homicidios en el Oriente tuvieron un aumento del 4 % en el 2024: Rionegro encabeza la lista,mioriente.com,0.3
2024-12-02,La paz total se está tomando al Valle de Aburrá y Antioquia,www.radionacional.co,0.3
2024-12-02,Medellín: 2024 cerrará con menos de 400 homicidios, la cifra más baja en 50 años,www.semana.com,0.3
2024-12-02,Capturados en Medellín por estafar abuelas por WhatsApp: se hacían pasar por familiares que necesitaban ayuda,www.elcolombiano.com,0.3
2024-12-02,Ciudadana rusa lideraba una red internacional que extorsionaba empresarios en diferentes países desde Medellín y Bogotá: les tenían que pagar en criptomonedas,www.infobae.com,0.3
2024-12-02,extorsión archivos | Q'hubo Medellín,historico.qhubomedellin.com,0.3
2024-12-02,Extorsión,www.elcolombiano.com,0.3
2024-12-02,Medellín crime news,www.youtube.com,0.3
2024-12-02,Policía Nacional desarticula red dedicada al expendio de estupefacientes en el suroccidente de Medellín,www.antioquiaamanece.com,0.3
2024-12-02,Anexo: Cronología del Cartel de Medellín,es.wikipedia.org,0.3
2024-12-02,EN VIDEO: En Barranquilla intentaron asesinar a Jorge Alfonso López, hijo de La Gata,qhubomedellin.com,0.3
2024-12-02,La paz total se está tomando al Valle de Aburrá y Antioquia,www.radionacional.co,0.3
2024-12-02,Diálogo con bandas, entre razones de la reducción en 16% de homicidios en Medellín,www.elespectador.com,0.3
2024-05-26,[Video] Cuatro capturados por hurtos y secuestro simple en el Valle de Aburrá,analisisurbano.org,0.3
2024-01-01,Antioquia inició el 2024 con cinco homicidios y 19 quemados,www.elcolombiano.com,0.3
2024-12-02,Tren de Aragua,es.wikipedia.org,0.2
2024-12-02,Medellín crime news,www.jep.gov.co,0.2
2024-08-24,Significativa e histórica reducción de homicidios en Medellín y el Valle de Aburrá en 2024,analisisurbano.org,0.2
